ID,x1,group
1,97.12261682,A
2,99.86469621,A
3,100.1359533,A
4,99.6807004,A
5,99.22571133,A
6,97.69272657,A
7,99.63216179,A
8,99.1229138,A
9,98.44081181,A
10,101.1493995,A
11,100.3681997,A
12,100.3253088,A
13,101.9056861,A
14,99.61775067,A
15,99.18107147,A
16,99.86067245,A
17,99.03526461,A
18,99.88478172,A
19,98.76350399,A
20,101.0492702,A
21,98.84889572,A
22,100.4184296,A
23,99.74472225,A
24,100.7546386,A
25,101.2359866,A
26,101.4757655,A
27,99.9908574,A
28,99.90733334,A
29,100.2446839,A
30,101.1442384,A
31,101.6189416,A
32,97.96488855,A
33,101.6523594,A
34,98.84188071,A
35,100.5764846,A
36,100.236102,A
37,98.65861892,A
38,101.1887666,A
39,98.598132,A
40,100.5679263,A
41,98.95238438,A
42,98.39342191,A
43,99.0400798,A
44,98.77533572,A
45,98.23164663,A
46,99.83928905,A
47,98.96272883,A
48,100.2465795,A
49,97.70868754,A
50,99.14598142,A
51,100.104307,A
52,99.99099956,A
53,98.55327933,A
54,98.92414121,A
55,100.2004353,A
56,100.6446863,A
57,99.17618538,A
58,100.2622245,A
59,100.6828213,A
60,99.06749483,A
61,99.20009146,A
62,101.2010556,A
63,98.63228126,A
64,101.7158319,A
65,100.1638693,A
66,99.91677079,A
67,100.334758,A
68,99.3940157,A
69,99.07896229,A
70,100.6889075,A
71,100.0944866,A
72,99.33395181,A
73,99.95820021,A
74,100.0995754,A
75,99.0106799,A
76,100.8164201,A
77,99.98517236,A
78,100.2431599,A
79,99.44140946,A
80,98.82834233,A
81,102.8448083,A
82,99.58658566,A
83,98.66291456,A
84,97.76260145,A
85,101.2531023,A
86,99.26257767,A
87,100.7492902,A
88,99.66891627,A
89,101.1025057,A
90,101.6000826,A
91,100.0458963,A
92,101.7687528,A
93,101.130791,A
94,100.7369078,A
95,98.98480129,A
96,100.0226805,A
97,98.84745348,A
98,101.8519577,A
99,100.7092197,A
100,101.3060212,A
101,89.01789654,B
102,91.70251974,B
103,90.71754966,B
104,88.63443738,B
105,90.80999542,B
106,89.5728987,B
107,89.95981236,B
108,90.08208525,B
109,89.85869531,B
110,87.86132364,B
111,90.15433419,B
112,88.79324682,B
113,88.51758727,B
114,90.36303525,B
115,88.16555091,B
116,90.24222873,B
117,90.79672448,B
118,90.74144879,B
119,89.83523153,B
120,90.97006329,B
121,90.2988914,B
122,90.46710164,B
123,92.38160931,B
124,91.53766191,B
125,89.48793659,B
126,90.54456661,B
127,91.4926959,B
128,90.09604157,B
129,88.78746354,B
130,90.13835698,B
131,88.48381961,B
132,90.05721992,B
133,88.29236001,B
134,91.14012467,B
135,88.68908129,B
136,89.77464972,B
137,88.23166427,B
138,88.81991664,B
139,88.66827349,B
140,90.32255935,B
141,90.32686561,B
142,89.37415273,B
143,90.62078,B
144,90.35567378,B
145,90.18010469,B
146,92.38819905,B
147,89.63068756,B
148,89.64463551,B
149,91.31976007,B
150,88.57646102,B
151,89.19337628,B
152,90.30291164,B
153,87.97102715,B
154,90.5138882,B
155,90.69512804,B
156,91.88685847,B
157,91.15112332,B
158,89.94123138,B
159,89.93576156,B
160,88.53831787,B
161,89.17871629,B
162,88.1223861,B
163,88.63138641,B
164,87.32754507,B
165,87.46752015,B
166,89.52989759,B
167,88.41393616,B
168,89.06909961,B
169,88.61952181,B
170,90.37178299,B
171,88.54282919,B
172,91.31272768,B
173,90.92885049,B
174,89.34919494,B
175,90.1913474,B
176,90.52542129,B
177,91.11647734,B
178,90.76767555,B
179,88.84227861,B
180,91.04734398,B
181,88.46335572,B
182,90.88407274,B
183,88.65495305,B
184,89.71493048,B
185,91.45339093,B
186,90.25914596,B
187,91.4192031,B
188,89.21909069,B
189,90.91421748,B
190,88.48541055,B
191,90.50003875,B
192,89.34326072,B
193,89.83713499,B
194,89.51775916,B
195,90.38948652,B
196,91.38791881,B
197,87.18477328,B
198,90.31137858,B
199,91.03828875,B
200,90.22217255,B
201,96.41916237,C
202,94.92651029,C
203,96.24118044,C
204,95.2483504,C
205,96.2343799,C
206,94.72457432,C
207,94.68011896,C
208,95.51673325,C
209,94.85571596,C
210,95.2870648,C
211,94.24401103,C
212,93.95164006,C
213,93.88183394,C
214,94.58861213,C
215,95.11049359,C
216,93.86525749,C
217,94.12618213,C
218,95.59965083,C
219,93.58426304,C
220,95.2715431,C
221,96.42411595,C
222,93.16093907,C
223,96.31182874,C
224,95.9466767,C
225,93.97936387,C
226,94.17310625,C
227,95.35395988,C
228,94.59264946,C
229,94.38961069,C
230,93.51308624,C
231,93.85467327,C
232,95.53251737,C
233,94.56454884,C
234,93.34504865,C
235,95.72796165,C
236,93.77908257,C
237,94.69279348,C
238,95.6696695,C
239,96.85115662,C
240,95.38185383,C
241,92.59826048,C
242,92.8646493,C
243,96.25022754,C
244,95.49532796,C
245,95.72886388,C
246,93.78780995,C
247,95.82195736,C
248,91.66006197,C
249,93.87941587,C
250,96.94780702,C
251,94.41997683,C
252,96.79069318,C
253,95.23679884,C
254,95.22031259,C
255,95.94457213,C
256,93.72403444,C
257,96.09755369,C
258,94.48733369,C
259,94.41791275,C
260,94.89050644,C
261,95.81807399,C
262,93.09679172,C
263,95.79318046,C
264,96.19868874,C
265,95.90640319,C
266,95.07505687,C
267,96.64059737,C
268,92.59921184,C
269,96.23119533,C
270,94.91576714,C
271,95.50094544,C
272,94.89236995,C
273,93.5073757,C
274,95.68043613,C
275,95.67548359,C
276,95.48664079,C
277,96.68934993,C
278,96.41795954,C
279,94.95558765,C
280,95.79889593,C
281,93.84059524,C
282,93.7413441,C
283,93.1426035,C
284,94.46670442,C
285,95.25030999,C
286,94.78675279,C
287,95.41306018,C
288,94.53221037,C
289,94.01351498,C
290,93.64534169,C
